2026-07-07 19:12:08,705 | INFO     | app.container.container | Application Container initialized successfully.
2026-07-07 19:12:58,478 | INFO     | app.ingestion.pipeline | Initializing Ingestion Pipeline.
2026-07-07 19:12:58,479 | INFO     | app.ingestion.splitter | Initializing DocumentSplitter (chunk_size=1000, chunk_overlap=200)
2026-07-07 19:12:58,479 | INFO     | app.embedding.embedder | Loading embedding model: all-MiniLM-L6-v2
2026-07-07 19:13:04,085 | INFO     | app.embedding.embedder | Embedding model loaded successfully.
2026-07-07 19:13:04,097 | INFO     | app.vectorstore.chroma_store | Connected to collection: rag_documents
2026-07-07 19:13:04,098 | INFO     | app.ingestion.loader | Loading PDF: Yaswanth_Sai_software_Engineer_Resume.pdf
2026-07-07 19:13:05,168 | INFO     | app.ingestion.loader | Loaded 2 pages successfully.
2026-07-07 19:13:05,168 | INFO     | app.ingestion.splitter | Splitting 2 document(s).
2026-07-07 19:13:05,169 | INFO     | app.ingestion.splitter | Generated 8 chunks.
2026-07-07 19:13:05,169 | INFO     | app.ingestion.pipeline | Generated 8 chunks.
2026-07-07 19:13:05,169 | INFO     | app.vectorstore.chroma_store | Indexing 8 chunks...
2026-07-07 19:13:05,170 | INFO     | app.embedding.embedder | Generating embeddings for 8 chunks.
2026-07-07 19:13:05,793 | INFO     | app.embedding.embedder | Document embeddings generated successfully.
2026-07-07 19:13:06,116 | INFO     | app.vectorstore.chroma_store | Document indexing completed successfully.
2026-07-07 19:13:06,153 | INFO     | app.vectorstore.chroma_store | Current indexed chunks: 388
2026-07-07 19:13:06,154 | INFO     | app.ingestion.pipeline | Stored 388 chunks.
2026-07-07 19:33:22,644 | INFO     | app.container.container | Initializing Application Container.
2026-07-07 19:33:22,645 | INFO     | app.embedding.embedder | Loading embedding model: all-MiniLM-L6-v2
2026-07-07 19:33:32,728 | INFO     | app.embedding.embedder | Embedding model loaded successfully.
2026-07-07 19:33:32,864 | INFO     | app.vectorstore.chroma_store | Connected to collection: rag_documents
2026-07-07 19:33:33,212 | INFO     | app.llm.ollama_client | Initialized Ollama client using model: qwen3:4b
2026-07-07 19:33:33,213 | INFO     | app.container.container | Application Container initialized successfully.
2026-07-07 19:46:40,422 | INFO     | app.container.container | Initializing Application Container.
2026-07-07 19:46:40,423 | INFO     | app.embedding.embedder | Loading embedding model: all-MiniLM-L6-v2
2026-07-07 19:46:47,004 | INFO     | app.embedding.embedder | Embedding model loaded successfully.
2026-07-07 19:46:47,189 | INFO     | app.vectorstore.chroma_store | Connected to collection: rag_documents
2026-07-07 19:46:47,665 | INFO     | app.llm.ollama_client | Initialized Ollama client using model: qwen3:4b
2026-07-07 19:46:47,666 | INFO     | app.container.container | Application Container initialized successfully.
2026-07-07 19:50:12,701 | INFO     | app.container.container | Initializing Application Container.
2026-07-07 19:50:12,702 | INFO     | app.embedding.embedder | Loading embedding model: all-MiniLM-L6-v2
2026-07-07 19:50:19,805 | INFO     | app.embedding.embedder | Embedding model loaded successfully.
2026-07-07 19:50:19,955 | INFO     | app.vectorstore.chroma_store | Connected to collection: rag_documents
2026-07-07 19:50:20,723 | INFO     | app.llm.ollama_client | Initialized Ollama client using model: qwen3:4b
2026-07-07 19:50:20,724 | INFO     | app.container.container | Application Container initialized successfully.
2026-07-07 19:52:28,911 | INFO     | app.container.container | Initializing Application Container.
2026-07-07 19:52:28,911 | INFO     | app.embedding.embedder | Loading embedding model: all-MiniLM-L6-v2
2026-07-07 19:52:34,960 | INFO     | app.embedding.embedder | Embedding model loaded successfully.
2026-07-07 19:52:35,074 | INFO     | app.vectorstore.chroma_store | Connected to collection: rag_documents
2026-07-07 19:52:35,429 | INFO     | app.llm.ollama_client | Initialized Ollama client using model: qwen3:4b
2026-07-07 19:52:35,429 | INFO     | app.container.container | Application Container initialized successfully.
2026-07-07 20:00:17,554 | INFO     | app.container.container | Initializing Application Container.
2026-07-07 20:00:17,554 | INFO     | app.embedding.embedder | Loading embedding model: all-MiniLM-L6-v2
2026-07-07 20:00:24,156 | INFO     | app.embedding.embedder | Embedding model loaded successfully.
